,year,value,ISO2,energy_type
397,2000,15954.5,UA,Total Renewable
398,2000,4.2,UG,Total Non-Renewable
399,2000,1866.5159999999998,UG,Total Renewable
400,2000,3508403.0,US,Total Non-Renewable
401,2000,403587.864,US,Total Renewable
402,2000,1045.795,UY,Total Non-Renewable
403,2000,8624.063,UY,Total Renewable
404,2000,51585.0,UZ,Total Non-Renewable
405,2000,7475.0,UZ,Total Renewable
406,2000,97.5,VC,Total Non-Renewable
407,2000,29.62,VC,Total Renewable
408,2000,29233.0,VE,Total Non-Renewable
409,2000,76097.81,VE,Total Renewable
410,2000,135.621,VG,Total Non-Renewable
411,2000,0.0,VG,Total Renewable
412,2000,1274.2,VI,Total Non-Renewable
413,2000,0.0,VI,Total Renewable
414,2000,16166.905,VN,Total Non-Renewable
415,2000,17465.885,VN,Total Renewable
416,2000,69.731,VU,Total Non-Renewable
417,2000,1.6,VU,Total Renewable
418,2000,63.936,WS,Total Non-Renewable
419,2000,58.2,WS,Total Renewable
420,2000,4316.0,YE,Total Non-Renewable
421,2000,0.0,YE,Total Renewable
422,2000,108.5,YT,Total Non-Renewable
423,2000,0.0,YT,Total Renewable
424,2000,205869.0,ZA,Total Non-Renewable
425,2000,3625.602,ZA,Total Renewable
426,2000,100.25,ZM,Total Non-Renewable
427,2000,9638.232,ZM,Total Renewable
428,2000,4983.371999999999,ZW,Total Non-Renewable
429,2000,4018.674,ZW,Total Renewable
430,2001,0.0,AD,Total Non-Renewable
431,2001,110.0,AD,Total Renewable
432,2001,51783.0,AE,Total Non-Renewable
433,2001,0.0,AE,Total Renewable
434,2001,61.365,AF,Total Non-Renewable
435,2001,649.442,AF,Total Renewable
436,2001,203.0,AG,Total Non-Renewable
437,2001,0.0,AG,Total Renewable
438,2001,71.32300000000001,AI,Total Non-Renewable
439,2001,0.0,AI,Total Renewable
440,2001,399.0,AL,Total Non-Renewable
441,2001,5008.236,AL,Total Renewable
442,2001,4589.8,AM,Total Non-Renewable
443,2001,1980.2,AM,Total Renewable
444,2001,555.188,AO,Total Non-Renewable
445,2001,1245.853,AO,Total Renewable
446,2001,60264.778,AR,Total Non-Renewable
447,2001,46402.228,AR,Total Renewable
448,2001,213.125,AS,Total Non-Renewable
449,2001,0.0,AS,Total Renewable
450,2001,24004.0,AT,Total Non-Renewable
451,2001,54745.465000000004,AT,Total Renewable
452,2001,243225.0,AU,Total Non-Renewable
453,2001,25623.0,AU,Total Renewable
454,2001,966.333,AW,Total Non-Renewable
455,2001,0.0,AW,Total Renewable
456,2001,21897.0,AZ,Total Non-Renewable
457,2001,2234.0,AZ,Total Renewable
458,2001,7232.0,BA,Total Non-Renewable
459,2001,6689.0,BA,Total Renewable
460,2001,1011.54,BB,Total Non-Renewable
461,2001,0.332,BB,Total Renewable
462,2001,23318.396,BD,Total Non-Renewable
463,2001,1596.224,BD,Total Renewable
464,2001,38226.0,BE,Total Non-Renewable
465,2001,1352.5,BE,Total Renewable
466,2001,359.721,BF,Total Non-Renewable
467,2001,85.782,BF,Total Renewable
468,2001,29650.0,BG,Total Non-Renewable
469,2001,2544.0,BG,Total Renewable
470,2001,12279.4,BH,Total Non-Renewable
471,2001,0.0,BH,Total Renewable
472,2001,11.666,BI,Total Non-Renewable
473,2001,173.696,BI,Total Renewable
474,2001,124.322,BJ,Total Non-Renewable
475,2001,2.069,BJ,Total Renewable
476,2001,3648.858,BN,Total Non-Renewable
477,2001,0.0,BN,Total Renewable
478,2001,2366.5150000000003,BO,Total Non-Renewable
479,2001,2524.2299999999996,BO,Total Renewable
480,2001,41862.611000000004,BR,Total Non-Renewable
481,2001,342027.948,BR,Total Renewable
482,2001,2170.5,BS,Total Non-Renewable
483,2001,0.0,BS,Total Renewable
484,2001,9.51,BT,Total Non-Renewable
485,2001,2291.45,BT,Total Renewable
486,2001,1230.6,BW,Total Non-Renewable
487,2001,0.0,BW,Total Renewable
488,2001,32877.0,BY,Total Non-Renewable
489,2001,42.028,BY,Total Renewable
490,2001,95.322,BZ,Total Non-Renewable
491,2001,141.613,BZ,Total Renewable
492,2001,203795.0,CA,Total Non-Renewable
493,2001,411426.164,CA,Total Renewable
494,2001,24.987000000000002,CD,Total Non-Renewable
495,2001,8387.58,CD,Total Renewable
496,2001,21.25,CF,Total Non-Renewable
497,2001,103.51400000000001,CF,Total Renewable
498,2001,28.14,CG,Total Non-Renewable
499,2001,448.135,CG,Total Renewable
500,2001,1593.0,CH,Total Non-Renewable
501,2001,55371.0,CH,Total Renewable
502,2001,3705.216804,CI,Total Non-Renewable
503,2001,2404.0,CI,Total Renewable
504,2001,32.369,CK,Total Non-Renewable
505,2001,0.133,CK,Total Renewable
506,2001,25132.774,CL,Total Non-Renewable
507,2001,27854.0,CL,Total Renewable
508,2001,254.935,CM,Total Non-Renewable
509,2001,4193.0,CM,Total Renewable
510,2001,1434486.6,CN,Total Non-Renewable
511,2001,357273.132,CN,Total Renewable
512,2001,15859.592,CO,Total Non-Renewable
513,2001,41291.527,CO,Total Renewable
514,2001,374.14799999999997,CR,Total Non-Renewable
515,2001,7154.225,CR,Total Renewable
516,2001,17386.6,CU,Total Non-Renewable
517,2001,1877.6,CU,Total Renewable
518,2001,245.67700000000002,CV,Total Non-Renewable
519,2001,3.749,CV,Total Renewable
520,2001,4539.0,CY,Total Non-Renewable
521,2001,0.0,CY,Total Renewable
